full_name,commit_frequency,activity_consistency,commit_trend,active_days_ratio,peak_to_average_ratio,recent_vs_past_ratio,velocity_stability,has_description,has_license,forks_count,open_issues_count,stars,commit_count_total,has_readme,health_score,health_grade
upptime/upptime,58.2308,4.0078,0.045676,1.0,1.2536,1.0,0.0688,1,1,973,336,16473,17235,1,81.2,A
imthenachoman/How-To-Secure-A-Linux-Server,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1235,75,19469,254,1,60.32,C
reflex-dev/reflex,12.5,8.6391,-0.41407,0.9615,3.2,10.0,0.6911,1,1,1527,2086,25716,2717,1,68.54,C
stanford-oval/storm,0.0962,0.4048,-0.003714,0.0577,20.8,0.0,4.2095,1,1,2449,222,27210,236,1,40.76,D
testing-library/react-testing-library,0.2308,0.7994,0.004098,0.1154,21.6667,0.0,3.4641,1,1,1136,824,19380,534,1,38.67,E
jellyfin/jellyfin,22.9423,11.1328,-0.11436,1.0,2.4409,1.0968,0.4853,1,1,3851,7293,43050,27701,1,71.3,B
reduxjs/redux-thunk,0.0769,0.5493,-0.008025,0.0192,52.0,0.0,7.1414,1,1,1034,214,17754,236,1,38.32,E
jquense/yup,0.25,1.1747,-0.001153,0.0577,28.0,0.0,4.6986,1,1,943,1754,23537,798,1,33.5,E
openai/gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,8689,1838,36431,1757,1,54.65,C
langfuse/langfuse,51.7692,18.9327,0.284812,1.0,2.2793,1.8904,0.3657,1,1,1445,1702,15636,4932,1,75.21,B
containrrr/watchtower,0.0192,0.1373,0.001323,0.0192,52.0,0.0,7.1414,1,1,1005,892,23304,923,1,34.76,E
NickeManarin/ScreenToGif,0.8077,2.646,-0.019636,0.1923,21.0476,0.0,3.276,1,1,2286,1036,25587,1323,1,43.85,D
karpathy/llm.c,0.0577,0.3047,-0.004653,0.0385,34.6667,0.0,5.281,1,1,3169,157,27513,1536,1,41.12,D
google/zx,4.6731,5.2723,-0.147059,0.7308,4.4938,4.5,1.1282,1,1,1162,490,44559,959,1,75.94,A
huggingface/candle,5.3269,4.0035,-0.008836,0.9808,3.7545,1.5,0.7516,1,1,1202,885,17983,2418,1,73.87,B
k88hudson/git-flight-rules,0.0385,0.1923,-0.000939,0.0385,26.0,0.0,5.0,1,1,3209,73,42432,452,1,44.02,D
astral-sh/uv,49.8077,18.323,-0.15248,1.0,2.2486,0.9732,0.3679,1,1,1956,7440,66339,7367,1,75.76,B
alibaba/weex,0.0385,0.1923,0.001964,0.0385,26.0,0.0,5.0,1,1,2135,1955,18517,12046,1,30.21,E
carbon-app/carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1961,687,35665,1883,1,58.2,C
Micropoor/Micro8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,6740,46,18107,127,1,56.68,C
